"","Index","Wortlaut"
"2143","HGB § 542 (3)"," Die Haftung des Beförderers wegen Verlust, Beschädigung oder verspäteter Aushändigung allen anderen als des in den Absätzen 1 und 2 erwähnten Gepäcks ist auf einen Betrag von 3 375 Rechnungseinheiten je Fahrgast und je Beförderung beschränkt."
"2144","HGB § 542 (4)"," Soweit nicht Wertsachen betroffen sind, die beim Beförderer zur sicheren Aufbewahrung hinterlegt sind, können der Beförderer und der Fahrgast vereinbaren, dass der Beförderer einen Teil des Schadens nicht zu erstatten hat. Dieser Teil darf jedoch bei Beschädigung eines Fahrzeugs den Betrag von 330 Rechnungseinheiten und bei Verlust, Beschädigung oder verspäteter Aushändigung anderen Gepäcks den Betrag von 149 Rechnungseinheiten nicht übersteigen."
"2145","HGB § 542 (5)"," Abweichend von den Absätzen 1 bis 4 hat der Beförderer bei Verlust oder Beschädigung von Mobilitätshilfen oder anderer Spezialausrüstung, die von einem Fahrgast mit eingeschränkter Mobilität verwendet wird, den Wiederbeschaffungswert der betreffenden Ausrüstungen oder gegebenenfalls die Reparaturkosten zu ersetzen."
"2146","HGB § 543 ","§ 543Zinsen und Verfahrenskosten
Zinsen und Verfahrenskosten sind über die in den §§ 538, 541 und 542 genannten Haftungshöchstbeträge hinaus zu erstatten."
"2147","HGB § 544 ","§ 544Rechnungseinheit
Die in den §§ 538, 541 und 542 genannte Rechnungseinheit ist das Sonderziehungsrecht des Internationalen Währungsfonds. Der Betrag wird in Euro entsprechend dem Wert des Euro gegenüber dem Sonderziehungsrecht am Tag des Urteils oder an dem von den Parteien vereinbarten Tag umgerechnet. Der Wert des Euro gegenüber dem Sonderziehungsrecht wird nach der Berechnungsmethode ermittelt, die der Internationale Währungsfonds an dem betreffenden Tag für seine Operationen und Transaktionen anwendet."
"2148","HGB § 545 ","§ 545Wegfall der Haftungsbeschränkung
Die in den §§ 541 und 542 sowie im Personenbeförderungsvertrag vorgesehenen Haftungshöchstbeträge gelten nicht, wenn der Schaden auf eine Handlung oder Unterlassung zurückzuführen ist, die vom Beförderer selbst entweder in der Absicht, einen solchen Schaden herbeizuführen, oder leichtfertig und in dem Bewusstsein begangen wurde, dass ein solcher Schaden mit Wahrscheinlichkeit eintreten werde."
"2149","HGB § 546 ","§ 546Ausführender Beförderer
"
"2150","HGB § 546 (1)"," Wird die Beförderung ganz oder teilweise durch einen Dritten ausgeführt, der nicht der Beförderer ist, so haftet der Dritte (ausführender Beförderer) für den Schaden, der durch den Tod oder die Körperverletzung eines Fahrgasts oder durch Verlust, Beschädigung oder verspätete Aushändigung von Gepäck eines Fahrgasts während der vom ausführenden Beförderer durchgeführten Beförderung entsteht, so, als wäre er der Beförderer. Vertragliche Vereinbarungen, durch die der Beförderer seine Haftung erweitert, wirken gegen den ausführenden Beförderer nur, soweit er ihnen schriftlich zugestimmt hat."
"2151","HGB § 546 (2)"," Der ausführende Beförderer kann alle Einwendungen und Einreden geltend machen, die dem Beförderer aus dem Personenbeförderungsvertrag zustehen."
"2152","HGB § 546 (3)"," Der Beförderer und der ausführende Beförderer haften als Gesamtschuldner."
"2153","HGB § 547 ","§ 547Haftung der Leute und der Schiffsbesatzung
"
"2154","HGB § 547 (1)"," Wird einer der Leute des Beförderers oder des ausführenden Beförderers wegen Tod oder Körperverletzung eines Fahrgasts oder wegen Verlust, Beschädigung oder verspäteter Aushändigung von Gepäck eines Fahrgasts in Anspruch genommen, so kann auch er sich auf die für den Beförderer oder den ausführenden Beförderer geltenden Einreden und Haftungsbeschränkungen berufen, wenn er in Ausübung seiner Verrichtungen gehandelt hat. Gleiches gilt, wenn ein Mitglied der Schiffsbesatzung in Anspruch genommen wird."
"2155","HGB § 547 (2)"," Eine Berufung auf die Haftungsbeschränkungen nach Absatz 1 ist ausgeschlossen, wenn der Schuldner selbst vorsätzlich oder leichtfertig und in dem Bewusstsein gehandelt hat, dass ein solcher Schaden mit Wahrscheinlichkeit eintreten werde."
"2156","HGB § 547 (3)"," Sind für den Schaden sowohl der Beförderer oder der ausführende Beförderer als auch eine der in Absatz 1 genannten Personen verantwortlich, haften sie als Gesamtschuldner."
"2157","HGB § 548 ","§ 548Konkurrierende Ansprüche
Ansprüche wegen Tod oder Körperverletzung eines Fahrgasts oder wegen Verlust, Beschädigung oder verspäteter Aushändigung von Gepäck können gegen den Beförderer oder den ausführenden Beförderer nur auf der Grundlage der Vorschriften dieses Unterabschnitts geltend gemacht werden."
"2158","HGB § 549 ","§ 549Schadensanzeige
"
"2159","HGB § 549 (1)"," Zeigt der Fahrgast dem Beförderer eine Beschädigung oder einen Verlust seines Gepäcks nicht rechtzeitig an, so wird vermutet, dass er das Gepäck unbeschädigt erhalten hat. Einer Anzeige bedarf es jedoch nicht, wenn der Zustand des Gepäcks im Zeitpunkt seines Empfangs von den Parteien gemeinsam festgestellt oder geprüft worden ist."
"2160","HGB § 549 (2)"," Die Anzeige ist rechtzeitig, wenn sie spätestens in folgendem Zeitpunkt erstattet wird: 1.bei äußerlich erkennbarer Beschädigung von Kabinengepäck im Zeitpunkt der Ausschiffung des Fahrgasts,2.bei äußerlich erkennbarer Beschädigung von anderem Gepäck als Kabinengepäck im Zeitpunkt seiner Aushändigung und3.bei äußerlich nicht erkennbarer Beschädigung von Gepäck oder bei dessen Verlust 15 Tage nach der Ausschiffung oder Aushändigung oder nach dem Zeitpunkt, in dem die Aushändigung hätte erfolgen sollen."
"2161","HGB § 549 (3)"," Die Schadensanzeige bedarf der Textform. Zur Wahrung der Frist genügt die rechtzeitige Absendung."
"2162","HGB § 550 ","§ 550Erlöschen von Schadensersatzansprüchen
Ein Schadensersatzanspruch wegen Tod oder Körperverletzung eines Fahrgasts oder wegen Verlust, Beschädigung oder verspäteter Aushändigung von Gepäck erlischt, wenn er nicht innerhalb einer der folgenden Fristen gerichtlich geltend gemacht wird: 1.drei Jahre, gerechnet von dem Tag, an dem der Gläubiger von dem Tod oder der Körperverletzung oder von dem Verlust, der Beschädigung oder der verspäteten Aushändigung Kenntnis erlangt hat oder normalerweise hätte erlangen müssen, oder2.fünf Jahre, gerechnet von dem Tag, an dem die Ausschiffung des Fahrgasts erfolgt ist oder hätte erfolgen sollen, je nachdem, welches der spätere Zeitpunkt ist."
"2163","HGB § 551 ","§ 551Abweichende Vereinbarungen
Soweit in § 542 Absatz 4 nichts Abweichendes bestimmt ist, ist jede Vereinbarung unwirksam, die vor Eintritt des Ereignisses getroffen wird, das den Tod oder die Körperverletzung des Fahrgasts oder den Verlust, die Beschädigung oder die verspätete Aushändigung seines Gepäcks verursacht hat, und durch die die Haftung wegen Tod oder Körperverletzung des Fahrgasts oder wegen Verlust, Beschädigung oder verspäteter Aushändigung seines Gepäcks ausgeschlossen oder eingeschränkt wird."
"2164","HGB § 552 ","§ 552Pfandrecht des Beförderers
"
"2165","HGB § 552 (1)"," Der Beförderer hat für seine Forderung auf das Beförderungsentgelt ein Pfandrecht an dem Gepäck des Fahrgasts."
"2166","HGB § 552 (2)"," Das Pfandrecht besteht nur, solange das Gepäck zurückbehalten oder hinterlegt ist."
"2167","HGB NA ","Dritter AbschnittSchiffsüberlassungsverträge"
"2168","HGB NA ","Erster UnterabschnittSchiffsmiete"
"2169","HGB § 553 ","§ 553Schiffsmietvertrag
"
"2170","HGB § 553 (1)"," Durch den Schiffsmietvertrag (Bareboat Charter) wird der Vermieter verpflichtet, dem Mieter ein bestimmtes Seeschiff ohne Besatzung zu überlassen und ihm den Gebrauch dieses Schiffes während der Mietzeit zu gewähren."
"2171","HGB § 553 (2)"," Der Mieter wird verpflichtet, die vereinbarte Miete zu zahlen. Die Miete ist mangels anderer Vereinbarung halbmonatlich im Voraus zu entrichten."
"2172","HGB § 553 (3)"," Die Vorschriften dieses Unterabschnitts gelten, wenn der Mieter den Vertrag abschließt, um das Schiff zum Erwerb durch Seefahrt zu betreiben. Betreibt der Mieter kein Handelsgewerbe im Sinne von § 1 Absatz 2 und ist seine Firma auch nicht nach § 2 in das Handelsregister eingetragen, so sind in Ansehung des Schiffsmietvertrags auch insoweit die Vorschriften des Ersten Abschnitts des Vierten Buches ergänzend anzuwenden; dies gilt jedoch nicht für die §§ 348 bis 350."
"2173","HGB § 554 ","§ 554Übergabe und Rückgabe des Schiffes. Instandhaltung
"
"2174","HGB § 554 (1)"," Der Vermieter hat dem Mieter das Schiff zur vereinbarten Zeit am vereinbarten Ort in einem zum vertragsgemäßen Gebrauch geeigneten Zustand zu übergeben."
"2175","HGB § 554 (2)"," Der Mieter hat das Schiff während der Mietzeit in einem zum vertragsgemäßen Gebrauch geeigneten Zustand zu erhalten. Nach Beendigung des Mietverhältnisses ist er verpflichtet, das Schiff in demselben Zustand unter Berücksichtigung der Abnutzung infolge vertragsgemäßen Gebrauchs zurückzugeben."
"2176","HGB § 555 ","§ 555Sicherung der Rechte des Vermieters
Der Mieter hat die Rechte des Vermieters gegenüber Dritten für den Vermieter zu sichern."
"2177","HGB § 556 ","§ 556Kündigung
Ein auf unbestimmte Zeit eingegangenes Mietverhältnis kann spätestens am ersten Werktag einer Woche zum Ablauf des folgenden Sonnabends gekündigt werden. Ist die Miete nach Monaten oder längeren Zeitabschnitten bemessen, ist die ordentliche Kündigung zum Ablauf eines Kalendervierteljahrs zulässig."
"2178","HGB NA ","Zweiter UnterabschnittZeitcharter"
"2179","HGB § 557 ","§ 557Zeitchartervertrag
"
"2180","HGB § 557 (1)"," Durch den Zeitchartervertrag wird der Zeitvercharterer verpflichtet, dem Zeitcharterer zu dessen Verwendung ein bestimmtes Seeschiff mit Besatzung auf Zeit zu überlassen und mit diesem Schiff Güter oder Personen zu befördern oder andere vereinbarte Leistungen zu erbringen."
"2181","HGB § 557 (2)"," Der Zeitcharterer wird verpflichtet, die vereinbarte Zeitfracht zu zahlen."
"2182","HGB § 557 (3)"," Die Vorschriften dieses Unterabschnitts gelten, wenn der Zeitcharterer den Vertrag abschließt, um das Schiff zum Erwerb durch Seefahrt zu betreiben. Betreibt der Zeitcharterer kein Handelsgewerbe im Sinne von § 1 Absatz 2 und ist seine Firma auch nicht nach § 2 in das Handelsregister eingetragen, so sind in Ansehung des Zeitchartervertrags auch insoweit die Vorschriften des Ersten Abschnitts des Vierten Buches ergänzend anzuwenden; dies gilt jedoch nicht für die §§ 348 bis 350."
"2183","HGB § 558 ","§ 558Beurkundung
Jede Partei des Zeitchartervertrags kann die schriftliche Beurkundung dieses Vertrags verlangen."
"2184","HGB § 559 ","§ 559Bereitstellung des Schiffes
"
"2185","HGB § 559 (1)"," Das Schiff ist dem Zeitcharterer zur vereinbarten Zeit am vereinbarten Ort in einem zum vertragsgemäßen Gebrauch geeigneten Zustand bereitzustellen."
"2186","HGB § 559 (2)"," Ist vereinbart, dass das Schiff zu einem bestimmten Termin oder innerhalb einer bestimmten Frist bereitgestellt werden soll, so kann der Zeitcharterer ohne Fristsetzung vom Vertrag zurücktreten, wenn die Vereinbarung nicht erfüllt wird oder offensichtlich ist, dass sie nicht erfüllt werden wird."
"2187","HGB § 560 ","§ 560Erhaltung des vertragsgemäßen Zustands des Schiffes
Der Zeitvercharterer hat das Schiff während der Dauer des Zeitchartervertrags in einem zum vertragsgemäßen Gebrauch geeigneten Zustand zu erhalten. Er hat insbesondere dafür zu sorgen, dass das Schiff seetüchtig und, wenn das Schiff zur Beförderung von Gütern verwendet wird, ladungstüchtig ist."
"2188","HGB § 561 ","§ 561Verwendung des Schiffes
"
"2189","HGB § 561 (1)"," Der Zeitcharterer bestimmt über die Verwendung des Schiffes. Er ist verpflichtet, mit der gebotenen Sorgfalt einen sicheren Hafen oder Liegeplatz auszuwählen, wenn er den Zeitvercharterer anweist, einen bestimmten Hafen oder Liegeplatz anzulaufen."
"2190","HGB § 561 (2)"," Der Zeitvercharterer ist für die Führung und die sonstige Bedienung des Schiffes verantwortlich."
"2191","HGB § 561 (3)"," Der Zeitcharterer ist berechtigt, das Schiff an einen Dritten zu verchartern."
"2192","HGB § 562 ","§ 562Unterrichtungspflichten
Zeitvercharterer und Zeitcharterer sind verpflichtet, sich gegenseitig über alle das Schiff und die Reisen betreffenden Umstände von Bedeutung zu unterrichten."
"2193","HGB § 563 ","§ 563Verladen und Löschen
"
"2194","HGB § 563 (1)"," Der Zeitcharterer hat, wenn das Schiff zur Beförderung von Gütern verwendet wird, diese zu verladen und zu löschen."
"2195","HGB § 563 (2)"," Der Zeitvercharterer hat dafür zu sorgen, dass die Verladung die Seetüchtigkeit des Schiffes nicht beeinträchtigt."
"2196","HGB § 564 ","§ 564Kosten für den Betrieb des Schiffes
"
"2197","HGB § 564 (1)"," Der Zeitvercharterer hat die fixen Kosten des Schiffsbetriebs zu tragen, insbesondere die Kosten der Besatzung, Ausrüstung, Unterhaltung und Versicherung des Schiffes."
"2198","HGB § 564 (2)"," Der Zeitcharterer hat die variablen Kosten des Schiffsbetriebs zu tragen, insbesondere Hafengebühren, Lotsengelder, Schlepperhilfen und Prämien für eine weiter gehende Versicherung des Schiffes. Der Zeitcharterer hat ferner den für den Betrieb des Schiffes erforderlichen Treibstoff in handelsüblicher Qualität zu beschaffen."
"2199","HGB § 565 ","§ 565Zeitfracht
"
"2200","HGB § 565 (1)"," Die Zeitfracht ist mangels anderer Vereinbarung halbmonatlich im Voraus zu zahlen."
"2201","HGB § 565 (2)"," Die Pflicht zur Zahlung der Zeitfracht entfällt für die Zeit, in der das Schiff infolge von Mängeln oder sonstigen Umständen, die dem Risikobereich des Zeitvercharterers zuzurechnen sind, dem Zeitcharterer nicht zur vertragsgemäßen Verwendung zur Verfügung steht. Ist die vertragsgemäße Verwendung des Schiffes gemindert, ist eine angemessen herabgesetzte Zeitfracht zu zahlen."
"2202","HGB § 566 ","§ 566Pfandrecht des Zeitvercharterers
"
"2203","HGB § 566 (1)"," Der Zeitvercharterer hat für seine Forderungen aus dem Zeitchartervertrag ein Pfandrecht an den an Bord des Schiffes befindlichen Sachen einschließlich des Treibstoffs, soweit diese Sachen im Eigentum des Zeitcharterers stehen. Die für den gutgläubigen Erwerb des Eigentums geltenden §§ 932, 934 und 935 des Bürgerlichen Gesetzbuchs sind nicht anzuwenden."
"2204","HGB § 566 (2)"," Der Zeitvercharterer hat ferner für seine Forderungen aus dem Zeitchartervertrag ein Pfandrecht an den Forderungen des Zeitcharterers aus von diesem abgeschlossenen Fracht- und Unterzeitcharterverträgen, die mit dem Schiff erfüllt werden. Der Schuldner der Forderung kann, sobald er Kenntnis von dem Pfandrecht hat, nur an den Zeitvercharterer leisten. Er ist jedoch zur Hinterlegung berechtigt, solange ihm der Zeitcharterer das Pfandrecht nicht anzeigt."
"2205","HGB § 566 (3)"," Abweichend von den Absätzen 1 und 2 hat der Zeitvercharterer kein Pfandrecht für künftige Entschädigungsforderungen sowie für nicht fällige Ansprüche auf Zeitfracht."
"2206","HGB § 567 ","§ 567Pflichtverletzung
Verletzt eine Partei des Zeitchartervertrags eine Pflicht aus diesem Vertrag, so bestimmen sich die Rechtsfolgen nach den allgemeinen für Schuldverhältnisse geltenden Vorschriften des Bürgerlichen Gesetzbuchs, soweit nicht in diesem Unterabschnitt etwas anderes bestimmt ist."
"2207","HGB § 568 ","§ 568Zurückbehaltungsrecht
Der Zeitvercharterer kann die von ihm geschuldeten Leistungen, einschließlich der Einnahme von Gut und der Ausstellung von Konnossementen, verweigern, solange der Zeitcharterer einen fälligen Anspruch auf Zeitfracht nicht erfüllt."
"2208","HGB § 569 ","§ 569Rückgabe des Schiffes
"
"2209","HGB § 569 (1)"," Nach Beendigung des Vertragsverhältnisses hat der Zeitcharterer das Schiff am vereinbarten Ort zurückzugeben."
"2210","HGB § 569 (2)"," Wird das Vertragsverhältnis durch eine außerordentliche Kündigung beendet, so hat der Zeitcharterer abweichend von Absatz 1 das Schiff dort zurückzugeben, wo es sich in dem Zeitpunkt befindet, in dem die Kündigung wirksam wird. Die Partei, die den Grund für die außerordentliche Kündigung zu vertreten hat, hat jedoch der anderen Partei den durch die vorzeitige Beendigung des Vertragsverhältnisses entstandenen Schaden zu ersetzen."
